Drug,SMILES
Levofloxacin,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23.C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23.O
Methotrexate,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1
Methyldopa,C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O
Tenofovir,C[C@H](Cn1cnc2c(N)ncnc21)OCP(=O)(O)O.O
Topiramate,CC1(C)O[C@@H]2[C@@H](CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@H]23)O1
Vigabatrin,C=CC(N)CCC(=O)O
Atenolol,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1
Azithromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O
Baclofen,NCC(CC(=O)O)c1ccc(Cl)cc1
Chloroquine,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12
Cimetidine,CN/C(=N\CCSCc1nc[nH]c1C)NC#N
Disopyramide,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C
Famotidine,NC(N)=Nc1nc(CSCC/C(N)=N/S(N)(=O)=O)cs1
Flecainide,O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F
Fluconazole,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F
Metformin,CN(C)C(=N)NC(=N)N
Metoclopramide,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC
Nadolol,CC(C)(C)NCC(O)COc1cccc2c1CC(O)C(O)C2
Ofloxacin,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23
Pilsicainide,Cc1cccc(C)c1NC(=O)CC12CCCN1CCC2
Pseudoephedrine,CN[C@@H](C)[C@@H](O)c1ccccc1
Pyridostigmine,CN(C)C(=O)Oc1ccc[n+](C)c1
Pyrimethamine,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1
Sotalol,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1
Stavudine,Cc1cn([C@H]2C=C[C@@H](CO)O2)c(=O)[nH]c1=O
Terbutaline,CC(C)(C)NCC(O)c1cc(O)cc(O)c1
Digoxin,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O
Lamivudine,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1
Levetiracetam,CC[C@@H](C(N)=O)N1CCCC1=O
Nizatidine,CNC(=C[N+](=O)[O-])NCCSCc1csc(CN(C)C)n1
Ampicillin,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O
Gabapentin,NCC1(CC(=O)O)CCCCC1
Pregabalin,CC(C)C[C@H](CN)CC(=O)O
Acyclovir,Nc1nc2c(ncn2COCCO)c(=O)[nH]1
Candesartan,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1
Cefprozil,CC=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1
Ciprofloxacin,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
Nitrofurantoin,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1
Penicillin V,CC1(C)S[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N2[C@H]1C(=O)O
Sulfisoxazole,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C
Amisulpride,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC
Paliperidone,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2O
Roxithromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)/C(=N\OCOCCOC)[C@H](C)[C@@H](O)[C@]1(C)O
Levonorgestrel,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC
Medroxyprogesterone,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C
Fleroxacin,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(CCF)c3c2F)CC1
