Drug,SMILES,Type,pKa_exp,pkasolver_pKa_acid,opera_pKa_acid,molgpka_pKa_acid,unipka_pKa_acid,pkasolver_pKa_base,opera_pKa_base,molgpka_pKa_base,unipka_pKa_base,pkasolver_FG_acid,pkasolver_FG_base,molgpka_acid_raw,molgpka_base_raw,molgpka_acid_N,molgpka_base_N
Pentoxifylline,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,BASE,NA,NA,NA,NA,NA,4.40168981552124,2.41,NA,NA,NA,heterocyclic_N_basic_5ring_polyhet,NA,"2.21, 2.39, 2.48, 2",0,4
Propylthiouracil,CCCc1cc(=O)[nH]c(=S)[nH]1,BASE,NA,NA,NA,8.08,7.631256413,10.356938133239746,-0.26,3.32,NA,NA,heterocyclic_N_basic_polyhet,"9.28, 8.08","3.2, 0.67, 3.32",2,3
Quetiapine,OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,BASE,6.91,7.883581962585449,NA,NA,NA,7.204112720489502,7.7,6.92,7.33771012,acidic_aniline,aliphatic_amine,13.78,"6.92, 6.86",1,2
Reboxetine,CCOc1ccccc1OC(c1ccccc1)C1CNCCO1,BASE,NA,NA,NA,NA,NA,7.797676010131836,7.71,8.19,7.502505921,NA,aliphatic_amine,NA,8.19,0,1
Theobromine,Cn1cnc2c1c(=O)[nH]c(=O)n2C,ACID,NA,NA,9.82,9.96,9.79174002,9.267797889709472,NA,NA,NA,NA,heterocyclic_N_basic_polyhet,9.96,"2.19, 2.6, 2.16",1,3
Thiopentone,NA,ACID,NA,NA,5.69,NA,7.424429906,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Labetalol,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,ACID,7.6,8.887249145507813,8.2,8.17,9.490039536,8.61929775238037,NA,9.07,8.361152746,alcohol,aliphatic_amine,"8.17, 8.62, 13.2, 13.2","9.07, 5.54",4,2
Acitretin,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C,ACID,NA,5.253394107818604,6.13,5,4.642632631,NA,NA,NA,NA,carboxylate,NA,5,NA,1,0
Flurbiprofen,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,ACID,4.26,4.482896766662598,3.84,4.12,4.098926216,NA,NA,NA,NA,carboxylate,NA,4.12,NA,1,0
Ibuprofen,CC(C)Cc1ccc(C(C)C(=O)O)cc1,ACID,5.2,4.817349071502686,4.91,4.4,4.32520045,NA,NA,NA,NA,carboxylate,NA,4.4,NA,1,0
Mesalamine,Nc1ccc(O)c(C(=O)O)c1,ACID,NA,4.233887348175049,3.82,10.05,5.626864976,3.340347032546997,NA,4.83,NA,carboxylate,aliphatic_amine,"2.9, 12.98, 12.98, 10.05",4.83,4,1
Nelfinavir,Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,ACID,7.4350000000000005,8.939828186035156,7.44,9.51,9.568898631,7.810753307342529,NA,6.55,6.96195324,phenol,aliphatic_amine,"9.51, 13.6, 12.2, 12.61",6.55,4,1
Oxcarbazepine,NC(=O)N1c2ccccc2CC(=O)c2ccccc21,ACID,NA,8.442109985351562,12.36,NA,NA,NA,NA,NA,NA,acidic_amide,NA,"13.59, 13.59",NA,2,0
