Drug,MolWt,ExactMolWt,HeavyAtomMolWt,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,MolLogP,MolMR,RingCount,NumAromaticRings,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumSaturatedRings,NumSaturatedCarbocycles,NumSaturatedHeterocycles,HeavyAtomCount,NumHeteroatoms,NumHeterocycles,FractionCSP3,HallKierAlpha,Kappa1,Kappa2,Kappa3,LabuteASA,qed,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,NumAtomStereoCenters,NumUnspecifiedAtomStereoCenters,NumAmideBonds,Phi,SPS,NHOHCount,NOCount
CHLORPROMAZINE,318.8730000000001,318.09574728800004,299.721,6.48,0,3,4,4.894400000000004,92.19400000000006,3,2,1,2,0,0,1,0,0,0,21,4,1,0.29411764705882354,-1.1599999999999997,14.763801473252023,6.304372410382191,3.203270439286252,135.25342033666848,0.7918053413291345,14.819626477379408,12.343412182360032,13.915837709306214,10.147867045540844,7.136710986404238,8.331172040341192,5.490300683775358,7.010513420734169,3.574794941917979,4.940160423539641,2.5884116965055552,3.8308620729095892,0,0,0,4.432214413349048,13.238095238095237,0,2
CLEMASTINE,343.898,343.170292132,317.68999999999994,12.47,0,2,6,5.104400000000005,100.56900000000006,3,2,1,2,0,0,1,1,0,1,24,3,1,0.42857142857142855,-1.3499999999999996,17.47230332155244,7.689383736353432,3.826164180769678,149.9437903281932,0.7227145221154114,16.993353063746344,14.542462956802048,15.298391902820503,11.593172145670254,8.751969156091917,9.129933629101146,6.819963237005305,7.25639901747729,5.233065452892165,5.485041768231651,3.6005427914898576,3.7265309491596,2,0,0,5.597968541557474,20.875,0,2
CLINDAMYCIN,424.9910000000001,424.179870836,391.72700000000015,102.26,4,7,7,0.3895000000000004,106.87510000000006,2,0,2,0,0,0,2,2,0,2,27,9,2,0.9444444444444444,-0.09000000000000005,23.191500616007254,10.093723701555763,5.291161799986219,170.3254453577105,0.4382730169795818,20.300600429391718,16.416143273853475,17.988568800799655,12.704815018005776,9.578734509045027,11.30307139123577,7.734255416479904,9.358687649788187,5.630970274445807,6.75701471757682,4.1133872348697516,4.999021620212108,9,0,1,8.669948127497685,39.925925925925924,4,7
CLOMIPRAMINE,314.86,314.154976416,291.676,6.48,0,2,4,4.528400000000004,95.47900000000006,3,2,1,2,0,0,1,0,0,0,22,3,1,0.3684210526315789,-1.5099999999999993,15.388161151015984,6.719552325532733,3.2857132602320616,137.86019454009644,0.8178744322781549,15.526733258565956,13.349377454269264,14.10530640028772,10.647867045540844,7.935569477126923,8.31353395013615,6.21021388658908,6.646649667061065,4.271276175731693,4.5063732785194315,3.1702873745895728,3.336630929630869,0,0,0,4.7000706385446325,13.727272727272727,0,2
CLONAZEPAM,315.716,315.04106886,305.636,84.6,1,4,2,3.037700000000001,83.6841,3,2,1,2,0,0,1,0,0,0,22,7,1,0.06666666666666667,-2.7299999999999995,14.217519400971987,5.572723046505113,2.5586032534213317,130.14044123411497,0.682474275950086,15.689869965382487,11.245695200914662,12.001624146933116,10.558550648063802,6.440633646418937,6.818598119428165,4.679853688351676,5.087053815092281,3.2529341739387494,3.582522394978795,2.259996757888712,2.4852334053314937,0,0,1,3.601377183178644,13.681818181818182,1,6
CODEINE,299.3700000000001,299.152143532,278.202,41.93,1,4,1,1.5010999999999999,82.46380000000003,5,1,4,1,0,2,2,1,0,1,22,4,2,0.5555555555555556,-1.52,12.968359178093896,4.059867674858224,1.2776232367596778,129.87893872736822,0.7981444096668123,15.060113453385565,12.951046269004294,12.951046269004294,10.663869018582144,8.102093592364024,8.102093592364024,7.113244797870749,7.113244797870749,6.354309691044521,6.354309691044521,5.388740830926851,5.388740830926851,5,0,0,2.3931737374133806,41.04545454545455,1,4
COLCHICINE,399.4430000000002,399.16818752,374.24300000000017,83.09,1,6,5,2.871600000000001,109.23470000000006,3,2,1,2,0,1,0,0,0,0,29,7,0,0.36363636363636365,-3.22,20.512615256870166,8.426176651903862,3.721770404485165,169.10472006325654,0.8325220081385356,21.129027554137906,17.250454651104402,17.250454651104402,13.942620665475822,9.262274124396015,9.262274124396015,6.750545770836781,6.750545770836781,5.098020717230943,5.098020717230943,3.8620647041129392,3.8620647041129392,1,0,1,5.960100680928495,14.724137931034482,1,7
COTININE,176.21900000000002,176.094963004,164.123,33.2,0,2,1,1.3749,48.982000000000035,2,1,1,0,1,0,1,1,0,1,13,3,2,0.4,-1.38,8.22879895318728,3.1656496783528167,1.414422843770367,77.3912862891444,0.647200855723837,9.259148545064338,7.603640389785005,7.603640389785005,6.287693700234704,4.444034959231595,4.444034959231595,3.345475184399548,3.345475184399548,2.5617311779403185,2.5617311779403185,1.767362672120297,1.767362672120297,1,0,1,2.003807289183639,22.384615384615383,0,3
DESIPRAMINE,266.388,266.178298704,244.21199999999993,15.27,1,2,4,3.5328000000000026,85.84170000000005,3,2,1,2,0,0,1,0,0,0,20,2,1,0.3333333333333333,-1.7999999999999994,13.195490638172728,6.101275951557094,2.5649296894273723,120.98201471222283,0.8516371541172786,13.7862462825598,12.101549654949705,12.101549654949705,9.898178147766926,7.47880207167587,7.47880207167587,5.3661694071584245,5.3661694071584245,4.0369967569332985,4.0369967569332985,3.0250641369973614,3.0250641369973614,0,0,0,4.025466484984002,13.55,1,2
DIAZEPAM,284.74600000000004,284.07164071600005,271.642,32.67,0,2,1,3.153800000000002,81.81000000000004,3,2,1,2,0,0,1,0,0,0,20,4,1,0.125,-2.129999999999999,12.881278899155532,5.097712849630266,2.207528872522681,122.06237911260713,0.79164533623487,14.11251969619286,11.006548889176562,11.762477835195018,9.66470379794645,6.329639001332097,6.707603474341325,4.645086508323747,5.081522288795732,3.368833542284992,3.6039306450727304,2.305497236422558,2.4776002603754255,0,0,1,3.283253048194818,14.6,0,3
