Drug,ChEMBL_ID,MW,PSA,HBD,HBA,LogP,Fu_median,N_fu,Fu_values,Fu_flag,SMILES,PPB_value,Fu_from_PPB,N_ppb,Fu_source,Fu_final,pKa_exp,N_pka,pKa_values,LogD74_exp,N_logd,LogD_values
NORTRIPTYLINE,CHEMBL445,263.38,12.03,1,1,3.83,0.12,3,"0.12, 0.12, 0.006",NA,CNCCC=C1c2ccccc2CCc2ccccc21,NA,NA,NA,ChEMBL_Fu,0.12,10.1,9,"10.1, 9.7, 9.7, 10.41, 10.1, 10.41, 10.13, 10.1, 13.9",2.23,5,"2.02, 1.98, 9.73, 2.23, 2.8"
PAROXETINE,CHEMBL490,329.37,39.72,1,4,3.33,0.074,7,"0.05, 0.06, 0.005, 0.074, 0.089, 0.099, 0.136",NA,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,NA,NA,NA,ChEMBL_Fu,0.074,9.805,8,"9.51, 11.2, 10.1, 9.51, 10.1, 9.51, 9.5, 10.34",2.285,2,"2.27, 2.3"
PEFLOXACIN,CHEMBL267648,333.36,65.78,1,5,1.61,0.75,1,0.75,NA,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21,NA,NA,NA,ChEMBL_Fu,0.75,NA,0,NA,0.37,1,0.37
PREDNISOLONE,CHEMBL131,360.45,94.83,3,5,1.56,0.25,5,"0.075, 0.075, 0.25, 0.98, 0.41",NA,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,NA,NA,NA,ChEMBL_Fu,0.25,0,1,0,1.6,1,1.6
PROPRANOLOL,CHEMBL27,259.35,41.49,2,3,2.58,0.216,11,"0.13, 0.1, 0.13, 0.216, 0.213, 0.231, 0.315, 0.15, 0.915, 0.421, 0.244",NA,CC(C)NCC(O)COc1cccc2ccccc12,NA,NA,NA,ChEMBL_Fu,0.216,9.475,24,"9.45, 9.45, 9.5, 9.5, 9.15, 6.49, 9.68, 9.53, 9.64, 9.45, 9.17, 2.3, 9.53, 9.45, 9.6, 9.6, 10.17, 9.5, 9.45, 9.56, 9.51, 9.43, 9.35, 7.5",1.26,15,"1.54, 1.18, 1.26, 1.25, 1.33, 0.69, 0.72, 1.4, 1.54, 1.62, 1.38, 1.26, 0.2, 1.26, 1.2"
QUININE,CHEMBL170,324.42,45.59,1,4,3.17,0.3,1,0.3,NA,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,NA,NA,NA,ChEMBL_Fu,0.3,8.56,9,"8.8, 9.13, 8.5, 8.8, 8.55, 8.56, 1.6, 3.1, 8.8",NA,0,NA
RISPERIDONE,CHEMBL85,410.49,64.16,0,6,3.59,0.1745,8,"0.11, 0.11, 0.1, 0.163, 0.222, 0.186, 0.276, 0.932",NA,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,NA,NA,NA,ChEMBL_Fu,0.1745,8.3,11,"7.91, 8.3, 8.7, 3.16, 3.16, 8.63, 8.3, 8.3, 8.3, 13, 8.2",1.71,3,"2.04, 1.66, 1.71"
SUMATRIPTAN,CHEMBL128,295.41,65.20,2,3,1.32,0.82,4,"0.82, 0.82, 0.83, 0.68",NA,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,NA,NA,NA,ChEMBL_Fu,0.82,9.5,6,"9.5, 9.5, 9.4, 9.68, 9.5, 8.7",-1.17,6,"-1.17, -1.17, -1.17, -1, 0, -1.7"
TEMAZEPAM,CHEMBL967,300.75,52.90,1,3,2.47,NA,0,NA,NA,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA
TIMOLOL,CHEMBL499,316.43,79.74,2,8,0.50,0.9,3,"0.9, 0.9, 0.988",NA,CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,NA,NA,NA,ChEMBL_Fu,0.9,8.8,7,"8.8, 9.3, 9.53, 8.8, 9.53, 8.8, 3.9",NA,0,NA
